[K0a1|[]]
[K3a1|[[1, 5, 2, 4], [3, 1, 4, 6], [5, 3, 6, 2]]]
[K4a1|[[4, 2, 5, 1], [8, 6, 1, 5], [6, 3, 7, 4], [2, 7, 3, 8]]]
[K5a1|[[2, 8, 3, 7], [4, 10, 5, 9], [6, 2, 7, 1], [8, 4, 9, 3], [10, 6, 1, 5]]]
[K5a2|[[1, 5, 2, 4], [3, 9, 4, 8], [5, 1, 6, 10], [7, 3, 8, 2], [9, 7, 10, 6]]]
[K6a1|[[1, 7, 2, 6], [3, 10, 4, 11], [5, 3, 6, 2], [7, 1, 8, 12], [9, 4, 10, 5], [11, 9, 12, 8]]]
[K6a2|[[1, 8, 2, 9], [3, 11, 4, 10], [5, 1, 6, 12], [7, 2, 8, 3], [9, 7, 10, 6], [11, 5, 12, 4]]]
[K6a3|[[4, 2, 5, 1], [8, 4, 9, 3], [12, 9, 1, 10], [10, 5, 11, 6], [6, 11, 7, 12], [2, 8, 3, 7]]]
[K7a1|[[1, 9, 2, 8], [3, 11, 4, 10], [5, 13, 6, 12], [7, 1, 8, 14], [9, 3, 10, 2], [11, 5, 12, 4], [13, 7, 14, 6]]]
[K7a2|[[2, 10, 3, 9], [4, 14, 5, 13], [6, 12, 7, 11], [8, 2, 9, 1], [10, 8, 11, 7], [12, 6, 13, 5], [14, 4, 1, 3]]]
[K7a3|[[1, 9, 2, 8], [3, 11, 4, 10], [5, 1, 6, 14], [7, 13, 8, 12], [9, 3, 10, 2], [11, 5, 12, 4], [13, 7, 14, 6]]]
[K7a4|[[2, 10, 3, 9], [4, 12, 5, 11], [6, 14, 7, 13], [8, 4, 9, 3], [10, 2, 11, 1], [12, 8, 13, 7], [14, 6, 1, 5]]]
[K7a5|[[2, 10, 3, 9], [4, 2, 5, 1], [6, 14, 7, 13], [8, 12, 9, 11], [10, 4, 11, 3], [12, 6, 13, 5], [14, 8, 1, 7]]]
[K7a6|[[1, 13, 2, 12], [3, 9, 4, 8], [5, 1, 6, 14], [7, 10, 8, 11], [9, 3, 10, 2], [11, 6, 12, 7], [13, 5, 14, 4]]]
[K7a7|[[1, 10, 2, 11], [3, 13, 4, 12], [5, 14, 6, 1], [7, 5, 8, 4], [9, 2, 10, 3], [11, 9, 12, 8], [13, 6, 14, 7]]]
[K8a1|[[1, 9, 2, 8], [3, 7, 4, 6], [5, 12, 6, 13], [7, 3, 8, 2], [9, 1, 10, 16], [11, 15, 12, 14], [13, 4, 14, 5], [15, 11, 16, 10]]]
[K8a2|[[1, 10, 2, 11], [3, 13, 4, 12], [5, 15, 6, 14], [7, 1, 8, 16], [9, 2, 10, 3], [11, 9, 12, 8], [13, 5, 14, 4], [15, 7, 16, 6]]]
[K8a3|[[6, 2, 7, 1], [14, 10, 15, 9], [10, 5, 11, 6], [12, 3, 13, 4], [4, 11, 5, 12], [2, 13, 3, 14], [16, 8, 1, 7], [8, 16, 9, 15]]]
[K8a4|[[2, 11, 3, 12], [4, 9, 5, 10], [6, 16, 7, 15], [8, 14, 9, 13], [10, 1, 11, 2], [12, 3, 13, 4], [14, 8, 15, 7], [16, 6, 1, 5]]]
[K8a5|[[1, 7, 2, 6], [3, 9, 4, 8], [5, 12, 6, 13], [7, 3, 8, 2], [9, 15, 10, 14], [11, 1, 12, 16], [13, 4, 14, 5], [15, 11, 16, 10]]]
[K8a6|[[2, 9, 3, 10], [4, 14, 5, 13], [6, 16, 7, 15], [8, 12, 9, 11], [10, 1, 11, 2], [12, 8, 13, 7], [14, 6, 15, 5], [16, 4, 1, 3]]]
[K8a7|[[2, 9, 3, 10], [4, 14, 5, 13], [6, 15, 7, 16], [8, 1, 9, 2], [10, 5, 11, 6], [12, 4, 13, 3], [14, 12, 15, 11], [16, 7, 1, 8]]]
[K8a8|[[1, 7, 2, 6], [3, 12, 4, 13], [5, 9, 6, 8], [7, 3, 8, 2], [9, 16, 10, 1], [11, 14, 12, 15], [13, 4, 14, 5], [15, 10, 16, 11]]]
[K8a9|[[6, 2, 7, 1], [14, 8, 15, 7], [10, 3, 11, 4], [2, 13, 3, 14], [12, 5, 13, 6], [4, 11, 5, 12], [16, 10, 1, 9], [8, 16, 9, 15]]]
[K8a10|[[2, 14, 3, 13], [4, 9, 5, 10], [6, 11, 7, 12], [8, 15, 9, 16], [10, 5, 11, 6], [12, 2, 13, 1], [14, 7, 15, 8], [16, 4, 1, 3]]]
[K8a11|[[1, 10, 2, 11], [3, 13, 4, 12], [5, 15, 6, 14], [7, 1, 8, 16], [9, 2, 10, 3], [11, 9, 12, 8], [13, 7, 14, 6], [15, 5, 16, 4]]]
[K8a12|[[4, 2, 5, 1], [10, 8, 11, 7], [8, 3, 9, 4], [2, 9, 3, 10], [14, 6, 15, 5], [16, 11, 1, 12], [12, 15, 13, 16], [6, 14, 7, 13]]]
[K8a13|[[1, 9, 2, 8], [3, 14, 4, 15], [5, 12, 6, 13], [7, 11, 8, 10], [9, 3, 10, 2], [11, 16, 12, 1], [13, 4, 14, 5], [15, 6, 16, 7]]]
[K8a14|[[2, 12, 3, 11], [4, 8, 5, 7], [6, 15, 7, 16], [8, 14, 9, 13], [10, 2, 11, 1], [12, 10, 13, 9], [14, 4, 15, 3], [16, 5, 1, 6]]]
[K8a15|[[1, 7, 2, 6], [3, 15, 4, 14], [5, 9, 6, 8], [7, 3, 8, 2], [9, 13, 10, 12], [11, 1, 12, 16], [13, 5, 14, 4], [15, 11, 16, 10]]]
[K8a16|[[2, 7, 3, 8], [4, 10, 5, 9], [6, 1, 7, 2], [8, 14, 9, 13], [10, 15, 11, 16], [12, 6, 13, 5], [14, 3, 15, 4], [16, 11, 1, 12]]]
[K8a17|[[6, 2, 7, 1], [14, 8, 15, 7], [8, 3, 9, 4], [2, 13, 3, 14], [12, 5, 13, 6], [4, 9, 5, 10], [16, 12, 1, 11], [10, 16, 11, 15]]]
[K8a18|[[6, 2, 7, 1], [8, 3, 9, 4], [16, 11, 1, 12], [2, 14, 3, 13], [4, 15, 5, 16], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9]]]
[K8n1|[[2, 14, 3, 13], [5, 11, 6, 10], [7, 15, 8, 14], [9, 5, 10, 4], [11, 7, 12, 6], [12, 2, 13, 1], [15, 9, 16, 8], [16, 4, 1, 3]]]
[K8n2|[[1, 7, 2, 6], [4, 13, 5, 14], [5, 9, 6, 8], [7, 3, 8, 2], [10, 15, 11, 16], [12, 9, 13, 10], [14, 3, 15, 4], [16, 11, 1, 12]]]
[K8n3|[[1, 7, 2, 6], [4, 13, 5, 14], [5, 9, 6, 8], [7, 3, 8, 2], [9, 13, 10, 12], [11, 1, 12, 16], [14, 3, 15, 4], [15, 11, 16, 10]]]
[K9a1|[[1, 11, 2, 10], [3, 13, 4, 12], [5, 15, 6, 14], [7, 17, 8, 16], [9, 1, 10, 18], [11, 3, 12, 2], [13, 5, 14, 4], [15, 7, 16, 6], [17, 9, 18, 8]]]
[K9a2|[[2, 8, 3, 7], [4, 14, 5, 13], [6, 4, 7, 3], [8, 2, 9, 1], [10, 18, 11, 17], [12, 16, 13, 15], [14, 6, 15, 5], [16, 12, 17, 11], [18, 10, 1, 9]]]
[K9a3|[[1, 11, 2, 10], [3, 15, 4, 14], [5, 13, 6, 12], [7, 17, 8, 16], [9, 1, 10, 18], [11, 3, 12, 2], [13, 5, 14, 4], [15, 7, 16, 6], [17, 9, 18, 8]]]
[K9a4|[[2, 14, 3, 13], [4, 12, 5, 11], [6, 16, 7, 15], [8, 18, 9, 17], [10, 6, 11, 5], [12, 4, 13, 3], [14, 2, 15, 1], [16, 8, 17, 7], [18, 10, 1, 9]]]
[K9a5|[[2, 14, 3, 13], [4, 12, 5, 11], [6, 16, 7, 15], [8, 18, 9, 17], [10, 6, 11, 5], [12, 4, 13, 3], [14, 2, 15, 1], [16, 10, 17, 9], [18, 8, 1, 7]]]
[K9a6|[[1, 13, 2, 12], [3, 7, 4, 6], [5, 15, 6, 14], [7, 3, 8, 2], [9, 17, 10, 16], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10]]]
[K9a7|[[2, 10, 3, 9], [4, 12, 5, 11], [6, 16, 7, 15], [8, 6, 9, 5], [10, 4, 11, 3], [12, 2, 13, 1], [14, 18, 15, 17], [16, 8, 17, 7], [18, 14, 1, 13]]]
[K9a8|[[1, 16, 2, 17], [3, 14, 4, 15], [5, 11, 6, 10], [7, 1, 8, 18], [9, 13, 10, 12], [11, 7, 12, 6], [13, 4, 14, 5], [15, 2, 16, 3], [17, 9, 18, 8]]]
[K9a9|[[1, 13, 2, 12], [3, 9, 4, 8], [5, 15, 6, 14], [7, 17, 8, 16], [9, 3, 10, 2], [11, 1, 12, 18], [13, 5, 14, 4], [15, 7, 16, 6], [17, 11, 18, 10]]]
[K9a10|[[1, 13, 2, 12], [3, 11, 4, 10], [5, 17, 6, 16], [7, 15, 8, 14], [9, 1, 10, 18], [11, 3, 12, 2], [13, 5, 14, 4], [15, 7, 16, 6], [17, 9, 18, 8]]]
[K9a11|[[2, 7, 3, 8], [4, 13, 5, 14], [6, 15, 7, 16], [8, 12, 9, 11], [10, 17, 11, 18], [12, 3, 13, 4], [14, 5, 15, 6], [16, 2, 17, 1], [18, 9, 1, 10]]]
[K9a12|[[2, 9, 3, 10], [4, 16, 5, 15], [6, 14, 7, 13], [8, 3, 9, 4], [10, 18, 11, 17], [12, 8, 13, 7], [14, 6, 15, 5], [16, 2, 17, 1], [18, 12, 1, 11]]]
[K9a13|[[2, 12, 3, 11], [4, 14, 5, 13], [6, 16, 7, 15], [8, 18, 9, 17], [10, 6, 11, 5], [12, 4, 13, 3], [14, 2, 15, 1], [16, 10, 17, 9], [18, 8, 1, 7]]]
[K9a14|[[1, 12, 2, 13], [3, 10, 4, 11], [5, 16, 6, 17], [7, 1, 8, 18], [9, 4, 10, 5], [11, 2, 12, 3], [13, 9, 14, 8], [15, 6, 16, 7], [17, 15, 18, 14]]]
[K9a15|[[2, 9, 3, 10], [4, 7, 5, 8], [6, 15, 7, 16], [8, 3, 9, 4], [10, 14, 11, 13], [12, 17, 13, 18], [14, 5, 15, 6], [16, 2, 17, 1], [18, 11, 1, 12]]]
[K9a16|[[1, 9, 2, 8], [3, 11, 4, 10], [5, 15, 6, 14], [7, 5, 8, 4], [9, 3, 10, 2], [11, 17, 12, 16], [13, 1, 14, 18], [15, 7, 16, 6], [17, 13, 18, 12]]]
[K9a17|[[1, 9, 2, 8], [3, 12, 4, 13], [5, 16, 6, 17], [7, 1, 8, 18], [9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10], [15, 6, 16, 7], [17, 15, 18, 14]]]
[K9a18|[[2, 12, 3, 11], [4, 2, 5, 1], [6, 16, 7, 15], [8, 14, 9, 13], [10, 18, 11, 17], [12, 4, 13, 3], [14, 8, 15, 7], [16, 10, 17, 9], [18, 6, 1, 5]]]
[K9a19|[[2, 14, 3, 13], [4, 11, 5, 12], [6, 4, 7, 3], [8, 17, 9, 18], [10, 5, 11, 6], [12, 8, 13, 7], [14, 2, 15, 1], [16, 9, 17, 10], [18, 16, 1, 15]]]
[K9a20|[[1, 11, 2, 10], [3, 16, 4, 17], [5, 13, 6, 12], [7, 3, 8, 2], [9, 1, 10, 18], [11, 15, 12, 14], [13, 7, 14, 6], [15, 4, 16, 5], [17, 9, 18, 8]]]
[K9a21|[[2, 7, 3, 8], [4, 13, 5, 14], [6, 15, 7, 16], [8, 12, 9, 11], [10, 17, 11, 18], [12, 5, 13, 6], [14, 3, 15, 4], [16, 2, 17, 1], [18, 9, 1, 10]]]
[K9a22|[[1, 7, 2, 6], [3, 8, 4, 9], [5, 14, 6, 15], [7, 11, 8, 10], [9, 2, 10, 3], [11, 17, 12, 16], [13, 1, 14, 18], [15, 4, 16, 5], [17, 13, 18, 12]]]
[K9a23|[[2, 16, 3, 15], [4, 12, 5, 11], [6, 4, 7, 3], [8, 18, 9, 17], [10, 14, 11, 13], [12, 6, 13, 5], [14, 8, 15, 7], [16, 2, 17, 1], [18, 10, 1, 9]]]
[K9a24|[[1, 13, 2, 12], [3, 7, 4, 6], [5, 1, 6, 18], [7, 14, 8, 15], [9, 16, 10, 17], [11, 3, 12, 2], [13, 10, 14, 11], [15, 8, 16, 9], [17, 5, 18, 4]]]
[K9a25|[[2, 10, 3, 9], [4, 17, 5, 18], [6, 12, 7, 11], [8, 4, 9, 3], [10, 14, 11, 13], [12, 8, 13, 7], [14, 2, 15, 1], [16, 5, 17, 6], [18, 16, 1, 15]]]
[K9a26|[[2, 10, 3, 9], [4, 11, 5, 12], [6, 17, 7, 18], [8, 15, 9, 16], [10, 14, 11, 13], [12, 3, 13, 4], [14, 2, 15, 1], [16, 5, 17, 6], [18, 7, 1, 8]]]
[K9a27|[[2, 9, 3, 10], [4, 7, 5, 8], [6, 14, 7, 13], [8, 15, 9, 16], [10, 18, 11, 17], [12, 3, 13, 4], [14, 6, 15, 5], [16, 2, 17, 1], [18, 12, 1, 11]]]
[K9a28|[[1, 16, 2, 17], [3, 15, 4, 14], [5, 3, 6, 2], [7, 13, 8, 12], [9, 7, 10, 6], [11, 18, 12, 1], [13, 9, 14, 8], [15, 5, 16, 4], [17, 10, 18, 11]]]
[K9a29|[[2, 10, 3, 9], [4, 17, 5, 18], [6, 12, 7, 11], [8, 4, 9, 3], [10, 15, 11, 16], [12, 6, 13, 5], [14, 1, 15, 2], [16, 7, 17, 8], [18, 13, 1, 14]]]
[K9a30|[[1, 9, 2, 8], [3, 16, 4, 17], [5, 1, 6, 18], [7, 12, 8, 13], [9, 3, 10, 2], [11, 6, 12, 7], [13, 10, 14, 11], [15, 4, 16, 5], [17, 15, 18, 14]]]
[K9a31|[[1, 9, 2, 8], [3, 10, 4, 11], [5, 13, 6, 12], [7, 1, 8, 18], [9, 16, 10, 17], [11, 15, 12, 14], [13, 7, 14, 6], [15, 4, 16, 5], [17, 3, 18, 2]]]
[K9a32|[[2, 8, 3, 7], [4, 9, 5, 10], [6, 13, 7, 14], [8, 16, 9, 15], [10, 5, 11, 6], [12, 17, 13, 18], [14, 3, 15, 4], [16, 2, 17, 1], [18, 11, 1, 12]]]
[K9a33|[[1, 15, 2, 14], [3, 16, 4, 17], [5, 12, 6, 13], [7, 5, 8, 4], [9, 2, 10, 3], [11, 6, 12, 7], [13, 1, 14, 18], [15, 11, 16, 10], [17, 8, 18, 9]]]
[K9a34|[[2, 13, 3, 14], [4, 17, 5, 18], [6, 16, 7, 15], [8, 4, 9, 3], [10, 5, 11, 6], [12, 8, 13, 7], [14, 1, 15, 2], [16, 11, 17, 12], [18, 10, 1, 9]]]
[K9a35|[[2, 12, 3, 11], [4, 16, 5, 15], [6, 14, 7, 13], [8, 18, 9, 17], [10, 4, 11, 3], [12, 2, 13, 1], [14, 6, 15, 5], [16, 10, 17, 9], [18, 8, 1, 7]]]
[K9a36|[[2, 15, 3, 16], [4, 11, 5, 12], [6, 4, 7, 3], [8, 17, 9, 18], [10, 5, 11, 6], [12, 10, 13, 9], [14, 1, 15, 2], [16, 7, 17, 8], [18, 13, 1, 14]]]
[K9a37|[[1, 10, 2, 11], [3, 14, 4, 15], [5, 1, 6, 18], [7, 17, 8, 16], [9, 2, 10, 3], [11, 9, 12, 8], [13, 4, 14, 5], [15, 13, 16, 12], [17, 7, 18, 6]]]
[K9a38|[[2, 14, 3, 13], [4, 10, 5, 9], [6, 16, 7, 15], [8, 4, 9, 3], [10, 18, 11, 17], [12, 6, 13, 5], [14, 2, 15, 1], [16, 12, 17, 11], [18, 8, 1, 7]]]
[K9a39|[[1, 12, 2, 13], [3, 17, 4, 16], [5, 10, 6, 11], [7, 18, 8, 1], [9, 14, 10, 15], [11, 2, 12, 3], [13, 6, 14, 7], [15, 5, 16, 4], [17, 8, 18, 9]]]
[K9a40|[[1, 15, 2, 14], [3, 12, 4, 13], [5, 11, 6, 10], [7, 3, 8, 2], [9, 18, 10, 1], [11, 17, 12, 16], [13, 9, 14, 8], [15, 6, 16, 7], [17, 5, 18, 4]]]
[K9a41|[[1, 15, 2, 14], [3, 12, 4, 13], [5, 16, 6, 17], [7, 3, 8, 2], [9, 18, 10, 1], [11, 4, 12, 5], [13, 9, 14, 8], [15, 6, 16, 7], [17, 10, 18, 11]]]
[K9n1|[[1, 5, 2, 4], [5, 11, 6, 10], [3, 8, 4, 9], [9, 2, 10, 3], [16, 11, 17, 12], [14, 8, 15, 7], [6, 16, 7, 15], [18, 13, 1, 14], [12, 17, 13, 18]]]
[K9n2|[[1, 9, 2, 8], [3, 16, 4, 17], [5, 1, 6, 18], [6, 12, 7, 11], [9, 3, 10, 2], [10, 14, 11, 13], [12, 8, 13, 7], [15, 4, 16, 5], [17, 15, 18, 14]]]
[K9n3|[[2, 9, 3, 10], [3, 16, 4, 17], [5, 1, 6, 18], [6, 12, 7, 11], [8, 1, 9, 2], [10, 14, 11, 13], [12, 8, 13, 7], [15, 4, 16, 5], [17, 15, 18, 14]]]
